z_true z_phot
0.146134 0.148298
0.146318 0.175125
0.146532 0.150974
0.146628 0.148652
0.146701 0.57718
0.146728 0.169446
0.14673 0.132694
0.146827 0.162076
0.146898 0.208304
0.146922 0.16426
0.147122 0.132246
0.147137 0.193998
0.147203 0.063832
0.147239 0.133369
0.147336 0.129228
0.147491 0.131532
0.147681 0.118086
0.147792 0.157327
0.147904 0.146439
0.147983 0.147449
0.147997 0.149568
0.148047 2.676791
0.148062 0.148088
0.148098 0.132597
0.148108 0.145998
0.14824 0.150345
0.148248 0.144571
0.148462 0.151555
0.1485 0.147587
0.148592 0.168311
0.148617 0.096372
0.148847 0.148534
0.14911 0.127468
0.149154 0.151727
0.149164 0.175289
0.149408 0.164988
0.149524 0.151203
0.149658 0.132858
0.149687 0.149414
0.150009 0.202498
0.150059 0.101328
0.150089 0.151203
0.150099 0.093554
0.15013 2.78134
0.150154 0.129498
0.150187 0.177842
0.150249 0.053921
0.150265 0.158974
0.150269 0.150789
0.150291 0.200251
0.150307 0.181701
0.150349 0.181687
0.150357 2.536224
0.150429 0.119962
0.150469 2.567774
0.150547 0.150191
0.150568 0.182968
0.150588 0.172019
0.150645 0.133587
0.150671 0.175983
0.150707 0.216242
0.150753 0.154868
0.150862 0.12739
0.150881 0.153465
0.150927 0.182363
0.150974 0.169106
0.151001 2.529068
0.151048 0.180462
0.151224 0.128267
0.151242 0.187312
0.151332 0.16708
0.151453 0.216242
0.151473 0.132226
0.15157 0.170163
0.15165 0.175708
0.151659 0.148592
0.151769 0.151305
0.151937 0.178332
0.151966 0.166851
0.152134 0.093167
0.152242 0.151052
0.152292 0.133794
0.152341 0.095123
0.152385 0.158669
0.152539 0.130459
0.152733 0.151973
0.152791 0.12808
0.152808 0.156525
0.152915 0.127103
0.153973 2.858922
0.15402 0.13212
0.154146 2.698364
0.154243 0.222636
0.155152 0.15402
0.1552 0.150171
0.15586 2.283842
0.155865 0.190723
0.155879 0.151373
0.156106 0.196761
0.15661 2.411254
0.156619 0.154855
0.156917 0.146983
0.157055 0.153347
0.157297 0.14257
0.157339 0.164843
0.157416 0.151732
0.157926 0.196748
0.157976 0.150224
0.158078 0.133433
0.158125 0.157457
0.158298 2.543172
