zphoto zspec
0.449515 0.308071
0.214108 0.308146
3.125354 0.308585
2.744525 0.3088
0.210279 0.309025
0.520002 0.309145
0.48051 0.309183
0.219018 0.309339
0.497119 0.309642
0.202956 0.310038
0.501092 0.310055
0.413484 0.310124
0.470533 0.310454
0.457892 0.310553
0.526002 0.310692
0.513828 0.310724
2.977573 0.311019
0.223094 0.311354
0.500201 0.311502
0.395612 0.311535
0.47656 0.311652
0.486871 0.311884
0.451779 0.312459
0.419874 0.31253
0.473264 0.312852
0.213603 0.312933
0.47103 0.312935
0.474312 0.313297
0.218378 0.313522
0.196761 0.313608
0.501563 0.314338
0.505862 0.314587
0.467929 0.315047
0.562683 0.315297
0.524911 0.315344
0.23509 0.315502
0.441921 0.316682
0.48051 0.317437
0.422203 0.317902
0.471596 0.318589
0.444454 0.319043
0.17933 0.31937
0.501247 0.320296
0.472326 0.32053
0.540771 0.322009
0.494499 0.322133
0.454345 0.32306
0.225375 0.323348
2.946766 0.325132
0.439347 0.325944
0.476533 0.32599
0.526892 0.326176
0.549142 0.326408
0.468649 0.327086
0.417672 0.32709
0.524911 0.327238
0.417859 0.328745
0.461148 0.328763
0.453108 0.329111
0.501092 0.330301
0.566876 0.330382
0.419026 0.330862
0.499168 0.331121
0.427452 0.332009
0.431904 0.332088
0.499778 0.332244
0.421335 0.332371
0.223456 0.332396
0.468038 0.333041
0.444912 0.333198
0.45766 0.333394
0.433096 0.333728
0.526002 0.333903
0.453778 0.334585
0.437657 0.334843
0.469958 0.335013
0.442072 0.335231
0.499066 0.335825
0.457777 0.33595
0.476883 0.336328
0.517521 0.336892
0.46837 0.338021
0.447442 0.338152
0.428754 0.338273
0.477172 0.338428
0.499179 0.338694
0.482771 0.338697
0.428304 0.338863
0.500796 0.339052
0.538699 0.339531
0.262968 0.339641
0.518695 0.340024
0.468505 0.340044
0.478504 0.340141
0.49123 0.340575
0.456799 0.340975
0.46974 0.341131
0.262692 0.341878
0.440914 0.342099
0.23584 0.343001
0.263844 0.343784
0.229135 0.34392
0.490136 0.344288
0.438082 0.344515
0.492908 0.344559
0.44718 0.344924
0.494013 0.345115
0.225415 0.345762
0.515277 0.346251
0.435347 0.34663
0.47436 0.346879
0.434774 0.347621
0.505269 0.347649
0.524752 0.347938
0.449352 0.347997
0.451291 0.348251
0.457515 0.348363
0.495739 0.348548
0.438835 0.34897
0.50554 0.349346
0.47896 0.349739
0.524911 0.349769
0.479868 0.349824
0.470308 0.350185
0.52324 0.350956
0.45469 0.350973
0.465141 0.352511
3.08713 0.35261
0.441859 0.353163
0.464744 0.353279
0.45082 0.35347
0.257917 0.354221
0.45848 0.354255
0.513988 0.354467
0.494412 0.354626
0.492908 0.355128
0.497029 0.355497
0.270128 0.355841
0.46385 0.356129
0.500354 0.356995
0.491982 0.358028
0.237966 0.358405
0.515277 0.358461
0.501278 0.358611
0.215214 0.35865
0.505927 0.358713
0.449165 0.358721
0.454752 0.359055
0.447938 0.359329
0.502488 0.359408
0.473915 0.359428
0.451831 0.359827
0.486414 0.359945
0.452523 0.360164
0.452242 0.360218
0.27949 0.36053
0.499179 0.360768
0.463513 0.360804
0.522947 0.361045
0.502502 0.361186
0.266075 0.361374
0.45259 0.361685
0.476055 0.361808
0.473416 0.36186
0.462741 0.361942
0.451844 0.362126
0.508706 0.362187
0.454513 0.362283
0.473363 0.362338
0.456704 0.362353
0.451902 0.362417
0.485001 0.362578
0.454752 0.36273
0.498736 0.362751
0.511043 0.363082
0.453778 0.363234
0.519987 0.36351
0.459071 0.363519
0.471133 0.36357
2.337176 0.363571
0.473576 0.363963
0.52691 0.363979
0.524973 0.364098
0.455527 0.364103
0.497833 0.364588
0.265539 0.364784
0.475029 0.364931
0.501557 0.365063
0.498087 0.365129
0.491622 0.365208
0.215786 0.365515
0.50445 0.365577
0.505647 0.365711
0.492908 0.365788
0.498679 0.365953
0.454765 0.366066
0.516646 0.366104
0.456888 0.366549
0.498165 0.366633
0.472293 0.366859
0.47805 0.367337
3.061933 0.367383
0.474677 0.367501
2.295988 0.367609
0.260818 0.367653
0.471522 0.367739
0.28605 0.367812
0.474412 0.36785
0.459947 0.367937
0.45743 0.367939
0.486272 0.368401
0.196761 0.368815
0.280274 0.369197
0.488824 0.369336
0.462502 0.369432
0.476776 0.369999
0.470331 0.370102
0.473416 0.37054
0.498405 0.370652
0.47656 0.370719
0.494506 0.370758
0.472336 0.370874
0.472928 0.370964
0.464284 0.371078
0.209162 0.371196
0.504024 0.371492
0.46539 0.371624
0.463932 0.371688
0.486808 0.371876
3.050643 0.371921
0.47532 0.372107
0.507607 0.372313
0.492908 0.372326
0.480491 0.372451
0.487806 0.372725
0.285745 0.373341
2.946766 0.373739
0.49983 0.373772
0.46302 0.374355
0.485778 0.374671
0.46385 0.374889
0.491484 0.37512
0.479862 0.375131
0.498736 0.37522
0.273729 0.375549
0.508925 0.375589
0.498736 0.375877
0.503384 0.376262
0.47442 0.376354
0.16869 0.376407
0.466895 0.376503
0.298188 0.376584
0.475958 0.376811
0.466495 0.376969
0.506212 0.376986
0.507598 0.377005
0.490939 0.377143
0.274888 0.377193
0.472206 0.377219
0.47848 0.377498
0.532352 0.377606
0.48123 0.377683
0.515277 0.377723
0.277607 0.377924
0.467075 0.37808
0.491338 0.378679
0.517107 0.378914
0.486286 0.379084
0.517156 0.379183
0.47758 0.379278
0.49999 0.379416
0.257917 0.379447
0.486617 0.379536
0.520002 0.379584
0.497877 0.379589
0.298071 0.379684
0.486476 0.379721
0.278623 0.380025
0.477292 0.38005
0.29656 0.380072
0.508713 0.380116
0.491853 0.38021
0.487933 0.380884
0.511251 0.381083
0.499497 0.381338
0.473498 0.381515
0.507196 0.382316
0.211899 0.38398
0.480094 0.384122
0.302689 0.384406
0.522618 0.384629
0.483534 0.38491
0.511832 0.385218
0.481752 0.385312
0.492463 0.385759
2.752155 0.385777
0.307873 0.386566
0.492341 0.386755
0.495583 0.386884
0.491787 0.38719
0.486095 0.387804
0.494498 0.388795
0.486891 0.388956
0.492908 0.389108
0.258499 0.389307
0.481196 0.389424
0.487936 0.389585
0.484827 0.390004
0.26449 0.391178
0.263808 0.391276
0.273282 0.391669
0.309761 0.392311
0.313576 0.392395
0.223373 0.39241
0.505391 0.392899
0.496231 0.394148
0.501557 0.394228
0.504653 0.394281
0.500549 0.394314
0.486404 0.394782
0.312526 0.395068
0.279536 0.395208
0.181267 0.395472
0.31 0.395752
0.494885 0.39721
0.288633 0.398742
0.531233 0.398982
0.494499 0.399881
0.310605 0.40111
0.306509 0.401649
0.319505 0.402574
0.283253 0.40282
0.523821 0.403348
0.507607 0.403851
0.312423 0.404223
0.214108 0.404386
0.30161 0.404459
0.266329 0.405801
0.507598 0.406644
0.310708 0.407132
0.53625 0.410166
0.521786 0.410593
0.30734 0.410777
0.331182 0.413125
0.319305 0.413755
0.325217 0.414045
0.309474 0.414246
0.505419 0.414835
0.258717 0.415651
0.334788 0.416304
0.509484 0.41687
0.274691 0.416922
0.201049 0.41717
0.543098 0.417255
0.322233 0.417649
0.307631 0.417846
0.259259 0.418048
0.245953 0.418117
0.523587 0.418188
0.326655 0.418295
0.332968 0.418648
0.291766 0.418724
0.27002 0.419708
0.513296 0.420274
0.319345 0.420435
0.324285 0.421248
0.332826 0.421601
0.317872 0.422124
0.53161 0.422626
0.288653 0.423491
0.329417 0.424289
2.652535 0.424509
0.319993 0.425169
0.334298 0.425266
0.283253 0.425501
0.301671 0.425962
0.540428 0.426638
0.333835 0.426986
0.520093 0.427307
0.329619 0.427555
0.309479 0.42773
0.523199 0.427789
0.342842 0.427894
0.347397 0.429581
0.312147 0.429673
0.334531 0.429699
0.343558 0.429783
0.347573 0.43029
0.341877 0.430401
0.329618 0.43052
0.260533 0.431349
0.347416 0.432049
0.560778 0.432792
0.315699 0.432859
0.335749 0.432944
0.325548 0.433729
0.309242 0.433762
0.343362 0.434608
0.325217 0.434661
0.342895 0.436648
0.342957 0.436796
0.320261 0.437633
0.549769 0.437901
0.35692 0.438472
0.33322 0.438582
0.284395 0.439668
0.319345 0.439756
0.336141 0.439814
0.317006 0.440536
0.340651 0.441138
0.14879 0.44133
0.292227 0.441559
0.329618 0.441709
0.35639 0.442604
0.308033 0.442781
0.343094 0.443308
0.549993 0.443508
0.293253 0.44353
0.281678 0.443602
0.276979 0.443833
0.327461 0.444402
0.338208 0.444713
0.332877 0.444975
0.327083 0.445063
0.36324 0.445644
0.330758 0.445677
0.299325 0.445931
0.310168 0.446358
0.315451 0.446381
0.325225 0.446424
0.349188 0.446466
0.337355 0.446956
0.311774 0.446974
0.361034 0.447176
0.333057 0.4472
0.36392 0.447253
0.361566 0.447356
